gender;cei1;cei2;cei3;cei4;cei5;cei6;cei7;cei8;ma1;ma2;ma3;ma4;ma5;ma6;orgcmt1;orgcmt2;orgcmt3;orgcmt7;orgcmt5;orgcmt6;orgcmt8
2;5;5;5;4;5;4;4;4;4;3;3;4;5;4;2;2;3;2;2;2;1
2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;1;3;3;4;4;4;3
2;5;5;5;5;4;4;3;4;4;5;5;5;5;5;3;4;4;3;2;2;1
2;5;5;4;4;5;4;4;5;5;5;5;4;4;5;4;3;4;4;2;2;1
2;4;4;3;4;4;3;4;4;2;4;5;4;3;3;3;3;3;4;3;2;3
2;5;5;5;4;4;4;4;4;5;4;4;4;4;4;3;2;3;3;3;4;4
2;4;4;4;3;4;4;3;4;2;3;3;2;3;3;2;3;3;3;4;2;4
2;5;5;4;4;4;4;4;4;4;4;4;4;5;4;3;3;3;4;3;3;2
2;5;5;4;5;5;4;4;5;4;2;4;3;3;4;3;2;3;5;3;3;5
2;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;1;1;2;4;4;4
2;5;4;4;4;4;4;4;4;3;4;4;3;4;3;3;2;3;4;2;3;3
2;5;4;4;4;4;4;4;4;5;4;5;4;4;4;3;3;3;4;2;3;1
2;5;5;4;5;5;4;4;5;2;4;3;4;4;2;4;4;3;4;3;3;3
2;4;3;3;4;4;3;3;4;4;4;5;3;4;4;3;3;3;4;4;2;3
2;4;4;3;4;4;3;3;4;5;4;4;4;4;4;3;3;3;3;3;2;3
2;5;5;4;5;5;4;3;4;4;3;3;4;4;4;3;3;3;4;3;2;2
2;4;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;3;5;2;3;2
2;4;4;3;3;4;3;3;4;4;3;3;4;3;4;2;2;2;2;3;3;3
2;5;4;3;4;4;3;4;4;4;4;4;3;3;3;3;4;3;4;3;4;2
2;5;5;4;4;4;4;4;4;3;3;4;3;2;3;2;2;3;3;4;4;4
2;4;3;2;4;4;4;2;4;3;3;3;4;3;2;3;2;3;3;4;4;4
2;3;3;2;5;5;4;3;3;4;4;5;3;3;3;3;2;3;4;3;3;4
2;4;4;4;4;4;4;2;4;3;2;4;4;2;3;3;2;3;2;3;3;2
2;5;5;5;5;4;3;3;4;3;3;4;1;2;2;3;2;2;3;3;3;3
2;5;5;5;5;5;5;5;5;4;3;2;4;3;3;4;3;3;3;3;4;4
2;4;4;4;4;4;4;4;4;3;4;5;5;4;5;2;3;4;4;2;3;2
2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;2;4;4;4
2;4;4;4;4;4;4;4;4;3;3;4;4;4;3;2;2;4;3;1;3;3
2;5;5;5;5;5;5;5;5;4;4;5;3;3;4;2;3;3;3;3;3;3
2;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;3;3;3;3;3
2;1;2;2;2;2;2;2;2;3;3;3;3;3;3;1;2;3;3;3;3;3
2;3;3;3;4;4;4;4;4;5;4;4;4;4;4;3;2;4;3;4;3;2
2;5;5;5;5;4;4;4;4;3;3;2;2;2;4;2;2;2;3;4;4;3
2;5;5;3;5;5;3;3;3;4;4;4;3;4;4;3;3;3;4;3;3;4
2;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;2;3;3;2;3
2;5;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3
2;5;4;5;5;5;5;5;5;4;4;5;4;4;5;4;5;4;4;2;4;2
2;4;4;4;4;3;4;3;3;3;3;3;4;3;4;4;3;4;3;3;4;3
2;4;4;4;4;4;4;3;4;5;5;5;5;5;5;3;3;3;3;2;3;3
2;5;5;5;5;5;3;3;3;3;4;5;3;3;3;3;3;5;5;3;3;3
2;5;5;5;5;5;5;5;5;4;4;4;4;5;3;5;4;4;5;3;3;1
2;5;3;2;4;4;3;3;4;3;4;3;2;2;3;2;2;2;3;3;3;2
2;5;5;5;5;5;5;5;5;4;3;4;4;3;4;3;3;4;4;1;1;1
2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4
2;4;2;2;3;3;3;3;3;4;4;3;4;4;4;2;3;2;3;3;3;3
2;3;3;3;3;3;3;3;3;3;2;4;3;3;3;2;3;3;3;3;3;3
2;4;4;4;4;4;4;4;4;2;3;4;4;4;4;3;3;3;4;3;2;2
2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;4;3;3;3
2;5;5;5;5;5;5;5;5;4;4;3;4;4;4;3;4;4;5;2;2;3
2;4;4;4;4;4;4;4;4;3;4;4;3;3;4;2;2;2;2;3;4;3
2;4;3;4;4;4;3;1;4;4;3;4;3;4;4;2;2;4;4;3;2;1
2;5;4;3;4;4;4;4;4;3;3;4;4;3;3;3;3;2;2;3;2;4
2;4;2;2;4;4;2;4;4;2;3;3;4;4;3;2;3;4;3;3;2;3
2;4;2;3;3;3;3;3;3;3;4;4;3;3;2;3;2;2;2;4;3;3
2;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;2;2;3;2;2;2
2;5;3;4;4;4;3;3;4;5;4;4;4;4;5;3;3;3;3;4;4;2
2;4;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;3;2;3;2
2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;2;3;3;3;3;3;3
2;5;5;5;5;5;5;5;5;4;4;5;4;3;4;2;3;3;2;3;3;4
2;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;3;3;2
2;5;5;5;5;5;5;5;5;4;3;5;4;4;4;2;3;3;3;3;4;3
2;5;5;5;5;5;5;5;5;4;4;4;3;4;2;4;2;2;4;3;3;2
2;5;5;4;4;4;4;4;4;4;4;5;3;3;4;3;4;3;4;3;3;2
2;5;4;4;4;4;4;4;4;3;4;2;2;2;3;2;2;2;3;3;3;3
2;5;5;4;5;5;5;4;5;4;4;4;4;4;4;2;2;4;4;2;2;2
2;5;5;4;5;5;5;4;4;4;4;5;3;3;5;4;4;3;3;3;3;2
2;5;4;3;5;5;4;3;4;4;4;4;4;4;4;2;3;3;3;4;4;3
2;4;4;4;4;5;4;4;5;3;3;4;3;3;4;3;3;3;4;3;2;2
2;5;5;5;5;5;5;5;4;4;3;5;4;1;4;5;4;4;4;4;4;5
2;5;5;5;5;5;5;5;5;4;3;5;4;4;4;5;5;5;3;3;3;1
2;5;5;4;4;4;4;3;4;5;4;5;4;4;4;4;4;4;3;2;4;4
